nameOfPlace,Poverty Rate
Midway City CDP,18.0
Mission Viejo city,4.9
Modjeska CDP,3.1
Newport Beach city,7.9
North Tustin CDP,4.4
Orange city,9.2
Placentia city,8.2
Rancho Mission Viejo CDP,2.4
Rancho Santa Margarita city,3.9
Rossmoor CDP,3.3
San Clemente city,5.6
San Juan Capistrano city,9.1
Santa Ana city,11.5
Seal Beach city,6.2
Silverado CDP,17.4
Stanton city,12.9
Trabuco Canyon CDP,13.0
Tustin city,10.1
Villa Park city,7.2
Westminster city,15.7
Williams Canyon CDP,0.0
Yorba Linda city,6.0
Placer County,6.8
Alta CDP,5.4
Auburn city,14.5
Carnelian Bay CDP,0.0
Cedar Flat CDP,3.9
Colfax city,11.6
Dollar Point CDP,1.5
Dutch Flat CDP,9.6
Foresthill CDP,20.5
Granite Bay CDP,5.0
Kings Beach CDP,18.2
Kingvale CDP (Combined Total-Nevada/Placer Counties),0.0
Lincoln city,8.0
Loomis town,9.0
Meadow Vista CDP,2.3
Newcastle CDP,9.6
North Auburn CDP,12.1
Penryn CDP,3.0
Rocklin city,4.3
Roseville city,6.3
Sheridan CDP,1.4
Sunnyside-Tahoe City CDP,2.0
Tahoe Vista CDP,8.1
Tahoma CDP (Combined Total - El Dorado/Placer counties),12.3
Plumas County,10.9
Almanor CDP,-
Beckwourth CDP,6.6
Belden CDP,-
Blairsden CDP,-
Bucks Lake CDP,0.0
Canyondam CDP,0.0
Caribou CDP,-
Chester CDP,9.0
Chilcoot-Vinton CDP,10.7
Clio CDP,49.7
Crescent Mills CDP,39.4
C-Road CDP,0.0
Cromberg CDP,0.0
Delleker CDP,6.3
East Quincy CDP,14.4
East Shore CDP,9.1
Gold Mountain CDP,0.0
Graeagle CDP,16.5
Greenhorn CDP,17.2
Greenville CDP,12.8
Hamilton Branch CDP,12.6
Indian Falls CDP,-
Iron Horse CDP,0.0
Johnsville CDP,-
Keddie CDP,0.0
Lake Almanor Country Club CDP,23.4
Lake Almanor Peninsula CDP,3.4
Lake Almanor West CDP,0.0
Lake Davis CDP,0.0
La Porte CDP,0.0
Little Grass Valley CDP,-
Mabie CDP,0.0
Meadow Valley CDP,4.8
Mohawk Vista CDP,28.6
Paxton CDP,-
Plumas Eureka CDP,7.7
Portola city,21.1
Prattville CDP,0.0
Quincy CDP,11.3
Spring Garden CDP,-
Taylorsville CDP,0.0
Tobin CDP,-
Twain CDP,51.1
Valley Ranch CDP,0.0
Warner Valley CDP,-
Whitehawk CDP,0.0
Riverside County,11.4
Aguanga CDP,33.5
Anza CDP,8.3
Banning city,18.9
Beaumont city,7.9
Bermuda Dunes CDP,6.3
Blythe city,22.8
Cabazon CDP,15.4
Calimesa city,7.6
Canyon Lake city,9.0
Cathedral City city,17.3
Cherry Valley CDP,9.9
Coachella city,11.2
Corona city,8.5
Coronita CDP,3.3
Desert Center CDP,25.1
Desert Edge CDP,19.5
Desert Hot Springs city,21.0
Desert Palms CDP,9.6
East Hemet CDP,18.8
Eastvale city,4.3
El Cerrito CDP,9.0
El Sobrante CDP (Riverside County),3.4
French Valley CDP,5.8
Garnet CDP,14.7
Good Hope CDP,20.2
Green Acres CDP,9.9
Hemet city,17.4
Highgrove CDP,6.5
Home Gardens CDP,11.5
Homeland CDP,8.9
Idyllwild-Pine Cove CDP,11.3
Indian Wells city,4.7
Indio city,13.2
Indio Hills CDP,3.2
Jurupa Valley city,10.3
Lake Elsinore city,10.3
Lakeland Village CDP,8.0
Lake Mathews CDP,10.1
Lake Riverside CDP,2.8
Lakeview CDP,17.6
La Quinta city,9.5
March ARB CDP,29.6
Meadowbrook CDP,14.7
Mead Valley CDP,12.9
Mecca CDP,15.3
Menifee city,9.0
Mesa Verde CDP,17.2
Moreno Valley city,12.9
Mountain Center CDP,0.0
Murrieta city,6.6
Norco city,5.5
North Shore CDP,13.1
Nuevo CDP,11.4
Oasis CDP,43.0
Palm Desert city,12.9
Palm Springs city,13.9
Perris city,12.7
Rancho Mirage city,11.0
Ripley CDP,48.6
Riverside city,12.8
Romoland CDP,19.1
Sage CDP,10.8
San Jacinto city,17.1
Sky Valley CDP,13.1
Temecula city,7.8
Temescal Valley CDP,6.5
Thermal CDP,23.1
Thousand Palms CDP,13.1
Valle Vista CDP,17.6
Vista Santa Rosa CDP,6.2
Warm Springs CDP,31.1
Whitewater CDP,22.5
Wildomar city,10.0
Winchester CDP,10.4
Woodcrest CDP,4.9
Sacramento County,13.1
Antelope CDP,10.4
Arden-Arcade CDP,19.3
Carmichael CDP,12.0
Citrus Heights city,10.1
Clay CDP,5.5
Courtland CDP,6.0
Elk Grove city,8.8
Elverta CDP,9.9
Fair Oaks CDP,8.2
Florin CDP,18.4
Folsom city,5.3
Foothill Farms CDP,17.0
Franklin CDP (Sacramento County),28.0
Freeport CDP,-
Fruitridge Pocket CDP,33.1
Galt city,7.2
Gold River CDP,2.6
Herald CDP,13.5
Hood CDP,15.0
Isleton city,32.3
La Riviera CDP,12.3
Lemon Hill CDP,29.3
McClellan Park CDP,45.7
Mather CDP,5.1
North Highlands CDP,20.5
Orangevale CDP,9.3
Parkway CDP,20.9
Rancho Cordova city,11.6
Rancho Murieta CDP,4.2
Rio Linda CDP,13.3
Rosemont CDP,12.4
Sacramento city,14.8
Vineyard CDP,12.1
Walnut Grove CDP,17.9
Wilton CDP,4.7
San Benito County,7.5
Aromas CDP (Combined Total-Monterey/San Benito Counties),3.1
Hollister city,9.4
Ridgemark CDP,4.0
San Juan Bautista city,6.9
Tres Pinos CDP,2.7
San Bernardino County,13.8
Adelanto city,17.9
Apple Valley town,17.0
Baker CDP,30.8
Barstow city,22.5
Big Bear City CDP,16.9
Big Bear Lake city,13.9
Big River CDP,17.1
Bloomington CDP,15.7
Bluewater CDP,4.8
Chino city,8.2
Chino Hills city,7.2
Colton city,15.4
Crestline CDP,11.6
Fontana city,10.5
Fort Irwin CDP,11.6
Grand Terrace city,7.4
Hesperia city,18.1
Highland city,15.9
Homestead Valley CDP,23.6
Joshua Tree CDP,22.3
Lake Arrowhead CDP,12.9
Lenwood CDP,20.0
Loma Linda city,12.8
Lucerne Valley CDP,32.4
Lytle Creek CDP,18.2
Mentone CDP,12.7
Montclair city,14.9
Morongo Valley CDP,25.8
Mountain View Acres CDP,28.7
Muscoy CDP,18.3
Needles city,29.3
Oak Glen CDP,18.8
Oak Hills CDP,6.1
Ontario city,12.9
Phelan CDP,16.7
Piñon Hills CDP,13.8
Rancho Cucamonga city,7.5
Redlands city,8.6
Rialto city,13.0
Running Springs CDP,7.1
San Antonio Heights CDP,8.1
San Bernardino city,20.2
Searles Valley CDP,19.8
Silver Lakes CDP,2.2
Spring Valley Lake CDP,5.4
Twentynine Palms city,17.2
Upland city,10.5
Victorville city,19.1
Wrightwood CDP,14.6
Yermo CDP,9.7
Yucaipa city,8.5
Yucca Valley town,20.2
San Diego County,10.6
Alpine CDP,8.9
Bonita CDP,5.8
Bonsall CDP,10.7
Borrego Springs CDP,3.2
Bostonia CDP,14.4
Boulevard CDP,40.7
Campo CDP,27.6
Camp Pendleton Mainside CDP,9.6
Camp Pendleton South CDP,8.4
Carlsbad city,6.9
Casa de Oro-Mount Helix CDP,7.8
Chula Vista city,8.8
Coronado city,5.8
Crest CDP,4.5
Del Dios CDP,9.9
Del Mar city,1.7
Descanso CDP,0.8
El Cajon city,18.9
Elfin Forest CDP,3.1
Encinitas city,7.1
Escondido city,13.2
Eucalyptus Hills CDP,3.8
Fairbanks Ranch CDP,21.8
Fallbrook CDP,15.0
Granite Hills CDP,10.8
Harbison Canyon CDP,6.2
Harmony Grove CDP,4.2
Hidden Meadows CDP,8.5
Imperial Beach city,15.3
Jacumba CDP,41.4
Jamul CDP,5.5
Julian CDP,1.9
Lake San Marcos CDP,5.2
Lakeside CDP (San Diego County),7.9
La Mesa city,11.7
La Presa CDP,10.1
Lemon Grove city,10.0
Mount Laguna CDP,13.5
National City city,14.1
Oceanside city,9.2
Pala CDP,13.2
Pine Valley CDP,0.8
Potrero CDP,27.3
Poway city,5.9
Rainbow CDP,9.2
Ramona CDP,5.5
Rancho San Diego CDP,6.5
Rancho Santa Fe CDP,3.4
San Diego city,11.4
San Diego Country Estates CDP,2.0
San Marcos city,9.7
Santee city,8.4
Solana Beach city,4.8
Spring Valley CDP (San Diego County),13.1
Valley Center CDP,14.2
Vista city,11.0
Winter Gardens CDP,7.7
San Francisco County,10.5
San Francisco city,10.5
San Joaquin County,12.9
Acampo CDP,29.0
August CDP,22.6
Collierville CDP,2.8
Country Club CDP,13.8
Dogtown CDP,8.5
Escalon city,9.5
Farmington CDP,53.2
French Camp CDP,24.6
Garden Acres CDP,14.8
Kennedy CDP,24.4
Lathrop city,8.5
Lincoln Village CDP,11.0
Linden CDP,4.1
Lockeford CDP,9.8
Lodi city,14.3
Manteca city,10.0
Morada CDP,3.5
Mountain House CDP,3.5
Peters CDP,12.9
Ripon city,6.1
Stockton city,15.6
Taft Mosswood CDP,23.4
Terminous CDP,7.9
Thornton CDP,36.7
Tracy city,8.7
Victor CDP,0.0
Waterloo CDP,7.0
Woodbridge CDP,6.7
San Luis Obispo County,12.6
Arroyo Grande city,6.0
Atascadero city,8.8
Avila Beach CDP,10.2
Blacklake CDP,1.0
California Polytechnic State University CDP,0.0
Callender CDP,1.1
Cambria CDP,8.6
Cayucos CDP,10.0
Creston CDP,-
Edna CDP,0.0
El Paso de Robles (Paso Robles) city,11.0
Garden Farms CDP,20.0
Grover Beach city,10.6
Lake Nacimiento CDP,6.3
Los Berros CDP,2.7
Los Osos CDP,9.4
Los Ranchos CDP,0.4
Morro Bay city,9.8
Nipomo CDP,7.4
Oak Shores CDP,11.9
Oceano CDP,13.6
Pismo Beach city,7.9
San Luis Obispo city,31.5
San Miguel CDP (San Luis Obispo County),29.9
San Simeon CDP,0.0
Santa Margarita CDP,1.7
Shandon CDP,6.7
Templeton CDP,5.4
Whitley Gardens CDP,0.0
Woodlands CDP,1.1
San Mateo County,6.4
Atherton town,3.9
Baywood Park CDP,1.3
Belmont city,6.9
Brisbane city,5.0
Broadmoor CDP,1.5
Burlingame city,5.0
Colma town,7.7
Daly City city,7.6
East Palo Alto city,12.2
El Granada CDP,3.4
Emerald Lake Hills CDP,1.1
Foster City city,3.8
Half Moon Bay city,6.8
Highlands CDP,5.3
Hillsborough town,4.0
Ladera CDP,1.1
La Honda CDP,3.0
Loma Mar CDP,0.0
Menlo Park city,5.5
Millbrae city,6.4
Montara CDP,4.0
Moss Beach CDP,5.3
North Fair Oaks CDP,11.5
Pacifica city,5.6
Pescadero CDP,12.0
Portola Valley town,4.4
Redwood City city,6.4
San Bruno city,5.6
San Carlos city,3.0
San Mateo city,7.3
South San Francisco city,6.8
West Menlo Park CDP,4.1
Woodside town,5.5
Santa Barbara County,13.5
Ballard CDP,9.2
Buellton city,2.0
Carpinteria city,5.4
Casmalia CDP,17.2
Cuyama CDP,0.0
Eastern Goleta Valley CDP,6.8
Garey CDP,0.0
Goleta city,11.5
Guadalupe city,27.6
Isla Vista CDP,72.4
Lompoc city,17.2
Los Alamos CDP,3.6
Los Olivos CDP,7.6
Mission Canyon CDP,5.2
Mission Hills CDP,1.7
Montecito CDP,7.8
New Cuyama CDP,16.9
Orcutt CDP,6.2
Santa Barbara city,13.0
Santa Maria city,13.5
Santa Ynez CDP,11.7
Sisquoc CDP,19.4
Solvang city,7.2
Summerland CDP,7.1
Toro Canyon CDP,5.2
University of California-Santa Barbara CDP,12.5
Vandenberg AFB CDP,1.8
Vandenberg Village CDP,5.4
Santa Clara County,6.9
Alum Rock CDP,9.9
Burbank CDP,4.5
Cambrian Park CDP,6.4
Campbell city,5.6
Cupertino city,5.3
East Foothills CDP,4.5
Fruitdale CDP,8.9
Gilroy city,7.8
Lexington Hills CDP,0.5
Los Altos city,3.1
Los Altos Hills town,2.0
Los Gatos town,3.9
Loyola CDP,2.1
Milpitas city,5.9
Monte Sereno city,0.6
Morgan Hill city,3.7
Mountain View city,5.4
Palo Alto city,4.7
San Jose city,7.9
San Martin CDP,7.3
Santa Clara city,8.0
Saratoga city,3.1
Stanford CDP,21.0
Sunnyvale city,5.3
Santa Cruz County,11.4
Amesti CDP,15.8
Aptos CDP,4.3
Aptos Hills-Larkin Valley CDP,4.0
Ben Lomond CDP,3.3
Bonny Doon CDP,11.4
Boulder Creek CDP,5.3
Brookdale CDP,12.7
Capitola city,15.0
Corralitos CDP,5.0
Davenport CDP,4.9
Day Valley CDP,4.8
Felton CDP,4.2
Freedom CDP,7.0
Interlaken CDP,7.0
La Selva Beach CDP,6.0
Live Oak CDP,12.1
Lompico CDP,10.5
Mount Hermon CDP,0.0
Pajaro Dunes CDP,10.8
Paradise Park CDP,0.0
Pasatiempo CDP,0.6
Pleasure Point CDP,7.8
Rio del Mar CDP,3.3
Santa Cruz city,18.7
Scotts Valley city,4.0
Seacliff CDP,3.7
Soquel CDP,6.3
Twin Lakes CDP (Santa Cruz County),16.5
Watsonville city,13.8
Zayante CDP,18.2
Shasta County,13.3
Anderson city,19.1
Bella Vista CDP,5.4
Big Bend CDP,34.9
Burney CDP,15.6
Cassel CDP,50.4
Castella CDP,20.4
Centerville CDP (Shasta County),7.9
Cottonwood CDP (Shasta County),8.6
Fall River Mills CDP,3.8
French Gulch CDP,8.1
Happy Valley CDP,4.5
Hat Creek CDP,0.0
Igo CDP,0.0
Johnson Park CDP,23.1
Jones Valley CDP,7.2
Keswick CDP,34.1
Lakehead CDP,22.0
McArthur CDP,29.2
Millville CDP,5.8
Montgomery Creek CDP,8.9
Mountain Gate CDP,45.2
Oak Run CDP,51.6
Old Station CDP,-
Ono CDP,11.1
Palo Cedro CDP,2.9
Platina CDP,48.0
Redding city,14.1
Round Mountain CDP,31.0
Shasta CDP,10.9
Shasta Lake city,18.1
Shingletown CDP,7.5
Whitmore CDP,15.8
Sierra County,12.6
Alleghany CDP,0.0
Calpine CDP,0.0
Downieville CDP,0.0
Goodyears Bar CDP,0.0
Loyalton city,23.9
Pike CDP,9.3
Sattley CDP,100.0
Sierra Brooks CDP,17.9
Sierra City CDP,0.0
Sierraville CDP,1.3
Verdi CDP,0.0
Siskiyou County,16.7
Carrick CDP,0.0
Dorris city,21.2
Dunsmuir city,15.5
Edgewood CDP,0.0
Etna city,15.2
Fort Jones city,29.6
Gazelle CDP,4.9
Greenview CDP,6.4
Grenada CDP,10.6
Happy Camp CDP,23.6
Hornbrook CDP,45.1
Lake Shastina CDP,7.9
McCloud CDP,14.3
Macdoel CDP,16.8
Montague city,23.0
Mount Hebron CDP,4.4
Mount Shasta city,18.5
Tennant CDP,0.0
Tulelake city,37.2
Weed city,34.7
Yreka city,21.0
Solano County,9.0
Allendale CDP,9.4
Benicia city,5.6
Dixon city,7.2
Elmira CDP,17.7
Fairfield city,9.2
Green Valley CDP (Solano County),5.1
Hartley CDP,6.5
Rio Vista city,9.1
Suisun City city,9.0
Vacaville city,6.9
Vallejo city,11.5
Sonoma County,8.9
Bloomfield CDP,10.2
Bodega CDP,15.9
Bodega Bay CDP,0.0
Boyes Hot Springs CDP,10.4
Carmet CDP,0.0
Cazadero CDP,2.9
Cloverdale city,6.2
Cotati city,7.4
Eldridge CDP,16.5
El Verano CDP,2.3
Fetters Hot Springs-Agua Caliente CDP,12.1
Forestville CDP,6.6
Fulton CDP,25.9
Geyserville CDP,8.2
Glen Ellen CDP,28.3
Graton CDP,21.7
Guerneville CDP,8.9
Healdsburg city,10.8
Jenner CDP,0.0
Kenwood CDP,10.5
Larkfield-Wikiup CDP,6.6
Monte Rio CDP,10.4
Occidental CDP,8.5
Penngrove CDP,9.9
Petaluma city,5.9
Petaluma Center CDP,2.4
Rohnert Park city,9.7
Salmon Creek CDP,0.0
Santa Rosa city,10.0
Sea Ranch CDP,11.6
Sebastopol city,8.2
Sereno del Mar CDP,14.3
Sonoma city,8.8
Sonoma State University CDP,-
Temelec CDP,2.3
Timber Cove CDP,0.0
Valley Ford CDP,-
Windsor town,4.2
Stanislaus County,13.7
Airport CDP,39.0
Bret Harte CDP,40.9
Bystrom CDP,25.7
Ceres city,15.3
Cowan CDP,0.0
Crows Landing CDP,21.7
Del Rio CDP,0.0
Denair CDP,10.2
Diablo Grande CDP,1.4
East Oakdale CDP,6.7
Empire CDP,27.2
Grayson CDP,5.7
Hickman CDP,7.1
Hughson city,10.3
Keyes CDP,27.7
Knights Ferry CDP,9.7
La Grange CDP,60.1
Modesto city,13.8
Monterey Park Tract CDP,20.3
Newman city,8.1
Oakdale city,13.0
Orange Blossom CDP,8.8
Parklawn CDP,12.0
Patterson city,7.8
Riverbank city,13.3
Riverdale Park CDP,29.1
Rouse CDP,21.6
Salida CDP,8.3
Turlock city,13.1
Valley Home CDP,17.9
Waterford city,17.4
Westley CDP,30.6
West Modesto CDP,23.4
Sutter County,13.3
East Nicolaus CDP,22.1
Live Oak city,16.4
Meridian CDP,13.0
Nicolaus CDP,9.6
Rio Oso CDP,2.4
Robbins CDP,22.3
Sutter CDP,5.1
Trowbridge CDP,11.5
Yuba City city,13.7
Tehama County,16.2
Bend CDP,3.6
Corning city,14.8
Dales CDP,67.1
Flournoy CDP,23.2
Gerber CDP,31.5
Lake California CDP,13.8
Las Flores CDP (Tehama County),0.0
Los Molinos CDP,40.8
Manton CDP,5.6
Mineral CDP,10.4
Paskenta CDP,14.3
Paynes Creek CDP,0.0
Proberta CDP,0.0
Rancho Tehama Reserve CDP,41.6
Red Bluff city,20.9
Richfield CDP,36.6
Tehama city,6.9
Vina CDP,44.1
Trinity County,22.0
Burnt Ranch CDP,66.7
Coffee Creek CDP,14.4
Douglas City CDP,23.8
Hayfork CDP,30.7
Hyampom CDP,9.8
Junction City CDP,19.4
Lewiston CDP,15.7
Mad River CDP,36.3
Post Mountain CDP,0.0
Ruth CDP,17.9
Salyer CDP,13.0
Trinity Center CDP,8.4
Trinity Village CDP,8.6
Weaverville CDP,23.0
Tulare County,18.5
Allensworth CDP,29.8
Alpaugh CDP,48.5
California Hot Springs CDP,0.0
Camp Nelson CDP,11.0
Cedar Slope CDP,-
Cutler CDP,16.2
Delft Colony CDP,90.4
Dinuba city,27.8
Ducor CDP,8.4
Earlimart CDP,16.1
East Orosi CDP,76.3
East Porterville CDP,41.8
East Tulare Villa CDP,21.5
El Monte Mobile Village CDP,0.0
El Rancho CDP,100.0
Exeter city,19.3
Farmersville city,24.6
Goshen CDP,22.5
Hartland CDP,-
Hypericum CDP,0.0
Idlewild CDP,0.0
Ivanhoe CDP,11.7
Jovista CDP,23.3
Kennedy Meadows CDP,100.0
Lemon Cove CDP,39.6
Lindcove CDP,28.0
Lindsay city,33.9
Linnell Camp CDP,51.3
London CDP,34.1
McClenney Tract CDP,100.0
Matheny CDP,10.1
Monson CDP,0.0
Orosi CDP,25.9
Panorama Heights CDP,27.3
Patterson Tract CDP,14.2
Pierpoint CDP,0.0
Pine Flat CDP,27.6
Pixley CDP,26.1
Plainview CDP,29.4
Ponderosa CDP,0.0
Poplar-Cotton Center CDP,27.3
Porterville city,17.7
Posey CDP,-
Poso Park CDP,-
Richgrove CDP,39.6
Rodriguez Camp CDP,78.8
Sequoia Crest CDP,0.0
Seville CDP,24.3
Silver City CDP,-
Springville CDP,17.5
Strathmore CDP,27.6
Sugarloaf Saw Mill CDP,-
Sugarloaf Village CDP,0.0
Sultana CDP,35.4
Terra Bella CDP,43.4
Teviston CDP,14.7
Three Rivers CDP,6.0
Tipton CDP,31.5
Tonyville CDP,62.4
Tooleville CDP,51.0
Traver CDP,8.2
Tulare city,17.5
Visalia city,12.6
Waukena CDP,0.0
West Goshen CDP,12.6
Wilsonia CDP,0.0
Woodlake city,24.5
Woodville CDP,30.0
Woodville Farm Labor Camp CDP,28.7
Yettem CDP,0.0
Tuolumne County,11.4
Cedar Ridge CDP,7.7
Chinese Camp CDP,44.4
Cold Springs CDP (Tuolumne County),100.0
Columbia CDP,19.5
East Sonora CDP,4.6
Groveland CDP,16.4
Jamestown CDP,9.2
Long Barn CDP,0.0
Mi-Wuk Village CDP,2.4
Mono Vista CDP,8.9
Phoenix Lake CDP,7.9
Pine Mountain Lake CDP,6.0
Sierra Village CDP,25.6
Sonora city,20.0
Soulsbyville CDP,7.8
Strawberry CDP (Tuolumne County),75.4
Tuolumne City CDP,1.6
Tuttletown CDP,19.6
Twain Harte CDP,10.9
Ventura County,9.0
Bell Canyon CDP,2.6
Camarillo city,7.4
Casa Conejo CDP,5.1
Channel Islands Beach CDP,5.6
El Rio CDP,17.8
Fillmore city,6.8
Lake Sherwood CDP,3.2
Meiners Oaks CDP,5.1
Mira Monte CDP,15.8
Moorpark city,4.0
Oak Park CDP,5.6
Oak View CDP,7.6
Ojai city,7.4
Oxnard city,10.7
Piru CDP,13.9
Port Hueneme city,13.0
San Buenaventura (Ventura) city,9.6
Santa Paula city,17.3
Santa Rosa Valley CDP,0.3
Santa Susana CDP,7.2
Saticoy CDP,4.9
Simi Valley city,7.0
Somis CDP,3.2
Thousand Oaks city,7.9
Yolo County,17.4
Brooks CDP,-
Clarksburg CDP,0.0
Davis city,26.3
Dunnigan CDP,13.2
El Macero CDP,0.0
Esparto CDP,12.6
Guinda CDP,25.8
Knights Landing CDP,18.9
Madison CDP,19.3
Monument Hills CDP,1.8
Rumsey CDP,0.0
Tancred CDP,0.0
University of California-Davis CDP,66.0
West Sacramento city,14.3
Winters city,6.5
Woodland city,9.3
Yolo CDP,67.3
Yuba County,15.4
Beale AFB CDP,9.0
Camptonville CDP,1.3
Challenge-Brownsville CDP,19.5
Dobbins CDP,23.6
Linda CDP,22.6
Loma Rica CDP,9.7
Marysville city,24.2
Olivehurst CDP,11.2
Plumas Lake CDP,3.5
Smartsville CDP,0.8
Wheatland city,5.6